k,seed,run_uid,scheme,first_bin,final_bin,first_n_posts,final_n_posts,delta_dominant_share,delta_topic_entropy_norm,delta_effective_topics,delta_topic_hhi,delta_topic_hhi_norm,internal_family_label,display_family_label,model_family,model_display,roster_name,condition,scale,n_agents,run_id,source_path
8,11,2ec295c49e9fc76a684c9a5e7fba4475d07aa444,fixed_15m,0-15m,45-60m,93,29,-0.03744901742677054,-0.01180697392215585,-0.06524306288704951,-0.0370457899018245,-0.042338045602085095,base_model_as_tool,Base model as tool,qwen-3.5-35b-a3b-base,Qwen 3.5 35B A3B Base,Qwen 3.5 35B A3B Base,mag0,n10,10,bm-mag0-n10-run01-gemini-3.1-flash-lite-preview-20260403,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/qwen-3.5-35b-a3b-base/mag0
8,11,2ec295c49e9fc76a684c9a5e7fba4475d07aa444,normalized_quartile,Q1,Q4,86,32,-0.014534883720930258,-0.00604136778878267,-0.03176964111245972,-0.028245842347214722,-0.03228096268253111,base_model_as_tool,Base model as tool,qwen-3.5-35b-a3b-base,Qwen 3.5 35B A3B Base,Qwen 3.5 35B A3B Base,mag0,n10,10,bm-mag0-n10-run01-gemini-3.1-flash-lite-preview-20260403,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/qwen-3.5-35b-a3b-base/mag0
8,11,31f3b974cca31d103912cdc91c7f87fd86613646,fixed_15m,0-15m,45-60m,106,43,0.30188679245283023,-0.3483602838630731,-1.063481997125927,0.43734425062299764,0.49982200071199734,base_model_as_tool,Base model as tool,olmo-3-32b-base,OLMo 3 32B Base,OLMo 3 32B Base,dom-tech,n10,10,bm-dom-tech-n10-run01-gemini-3.1-flash-lite-preview-20260408,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-base/dom-tech
8,11,31f3b974cca31d103912cdc91c7f87fd86613646,normalized_quartile,Q1,Q4,100,50,0.2599999999999999,-0.24937401666100725,-0.8527610469017708,0.34019999999999995,0.3887999999999999,base_model_as_tool,Base model as tool,olmo-3-32b-base,OLMo 3 32B Base,OLMo 3 32B Base,dom-tech,n10,10,bm-dom-tech-n10-run01-gemini-3.1-flash-lite-preview-20260408,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-base/dom-tech
8,11,329e6d908c55bed5cac56f80110982ca7a35521b,normalized_quartile,Q1,Q4,292,24,0.04452054794520549,-0.10498150246739191,-0.8571658703344704,0.05009734471758304,0.057254108248666336,obsession_prompting,Obsession prompting,gpt-5,GPT-5,GPT-5,mag0,n10,10,obs-mag0-n10-run01-gpt-5-20260419,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag0-5h
8,11,330e1a41290a2555b44f8f58cd57372b1ba6defc,fixed_15m,0-15m,45-60m,218,101,0.4900990099009901,-0.5645692879245795,-2.3625209890926766,0.6381669937496781,0.7293337071424894,single_model_final,Single-model final runs,google/gemini-3.1-flash-lite-preview,Gemini Flash Lite,Gemini Flash Lite,mag25,n20,20,ec-mag25-n20-run01,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-20/ec-mag25-n20-run01
8,11,330e1a41290a2555b44f8f58cd57372b1ba6defc,normalized_quartile,Q1,Q4,289,124,0.35182498046656996,-0.45201219695786693,-1.7987099737381995,0.5047756780554334,0.5768864892062097,single_model_final,Single-model final runs,google/gemini-3.1-flash-lite-preview,Gemini Flash Lite,Gemini Flash Lite,mag25,n20,20,ec-mag25-n20-run01,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-20/ec-mag25-n20-run01
8,11,33c3b5876d814d432c9957f3441f01e58e4f8681,fixed_15m,0-15m,45-60m,88,24,0.022727272727272707,-0.05973944521099143,-0.13227024548407273,0.04467975206611563,0.051062573789846466,base_model_as_tool,Base model as tool,olmo-3-32b-base,OLMo 3 32B Base,OLMo 3 32B Base,dom-agi,n10,10,bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260408,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-base/dom-agi
8,11,33c3b5876d814d432c9957f3441f01e58e4f8681,normalized_quartile,Q1,Q4,84,31,-0.04070660522273428,0.0529938703200121,0.13254203172262824,-0.07393888877090904,-0.08450158716675316,base_model_as_tool,Base model as tool,olmo-3-32b-base,OLMo 3 32B Base,OLMo 3 32B Base,dom-agi,n10,10,bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260408,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-base/dom-agi
8,11,356e5ccaff59febc37a3e2d77af06ee9124f1174,fixed_15m,0-15m,45-60m,118,35,-0.15423728813559323,-0.03714516375956639,-0.15740369234367968,-0.0814076414823326,-0.09303730455123721,base_model_as_tool,Base model as tool,qwen-3.5-35b-a3b-base,Qwen 3.5 35B A3B Base,Qwen 3.5 35B A3B Base,dom-agi,n10,10,bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260403,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/qwen-3.5-35b-a3b-base/dom-agi
