internal_family_label,model_display,scheme,k,seed,n_runs,delta_dominant_share_mean,delta_dominant_share_median,delta_dominant_share_n_negative,delta_dominant_share_n_positive,delta_dominant_share_sign_p,delta_topic_entropy_norm_mean,delta_topic_entropy_norm_median,delta_topic_entropy_norm_n_negative,delta_topic_entropy_norm_n_positive,delta_topic_entropy_norm_sign_p,delta_effective_topics_mean,delta_effective_topics_median,delta_effective_topics_n_negative,delta_effective_topics_n_positive,delta_effective_topics_sign_p,delta_topic_hhi_mean,delta_topic_hhi_median,delta_topic_hhi_n_negative,delta_topic_hhi_n_positive,delta_topic_hhi_sign_p,delta_topic_hhi_norm_mean,delta_topic_hhi_norm_median,delta_topic_hhi_norm_n_negative,delta_topic_hhi_norm_n_positive,delta_topic_hhi_norm_sign_p
base_model_as_tool,OLMo 3 32B Base,normalized_quartile,8,11,6,0.013434921186746699,0.059654800431499455,2,4,0.6875,-0.04421708082828226,-0.11315098873766886,4,2,0.6875,-0.08757350358397435,-0.30010637289670994,4,2,0.6875,0.035924988681884214,0.11252957831051902,2,4,0.6875,0.04105712992215338,0.12860523235487886,2,4,0.6875
base_model_as_tool,OLMo 3 32B Base,normalized_quartile,8,22,6,0.06910532130577625,0.11637806637806636,2,4,0.6875,-0.17960041752735192,-0.18791630458006903,4,2,0.6875,-0.6850793531817695,-0.6100641601761437,4,2,0.6875,0.13697043799965578,0.1941324604528068,2,4,0.6875,0.15653764342817802,0.22186566908892202,2,4,0.6875
base_model_as_tool,OLMo 3 32B Base,normalized_quartile,8,33,6,0.08504070264491913,0.04062049062049061,2,4,0.6875,-0.17711913015363331,-0.0927167530188164,6,0,0.03125,-0.7134602721583949,-0.3988168609512772,6,0,0.03125,0.13928442258161347,0.06438516269685093,2,4,0.6875,0.15918219723612967,0.07358304308211533,2,4,0.6875
base_model_as_tool,OLMo 3 32B Base,normalized_quartile,8,44,6,-0.005215635440469342,0.027392510402219183,1,5,0.21875,-0.05971312583226306,-0.08425968660589478,5,1,0.21875,-0.11305679849925059,-0.23464061833269945,5,1,0.21875,0.020578972396914568,0.052871735460137514,1,5,0.21875,0.02351882559647379,0.06042484052587149,1,5,0.21875
base_model_as_tool,OLMo 3 32B Base,normalized_quartile,8,55,6,0.10227457343228687,0.12871572871572873,2,4,0.6875,-0.13770886864898935,-0.09454854994782755,4,2,0.6875,-0.5016943868113083,-0.3739344642129655,4,2,0.6875,0.12133288936633979,0.093278799122955,2,4,0.6875,0.1386661592758169,0.10660434185480566,2,4,0.6875
base_model_as_tool,OLMo 3 32B Base,normalized_quartile,12,11,6,0.0623819004356199,0.0948773448773449,2,4,0.6875,-0.15930638251332638,-0.15365707486409996,5,1,0.21875,-0.7148631368711716,-0.6339941546653467,5,1,0.21875,0.14367950429038007,0.16149199685996235,2,4,0.6875,0.15674127740768737,0.17617308748359534,2,4,0.6875
base_model_as_tool,OLMo 3 32B Base,normalized_quartile,12,22,6,0.10292977407248759,0.12265512265512268,2,4,0.6875,-0.16981672251330873,-0.16266268267554684,4,2,0.6875,-0.7731914597013101,-0.6801398955357743,4,2,0.6875,0.16479524834792084,0.19102084543642994,2,4,0.6875,0.17977663456136814,0.20838637683974176,2,4,0.6875
base_model_as_tool,OLMo 3 32B Base,normalized_quartile,12,33,6,0.06618337341168534,0.08694083694083699,2,4,0.6875,-0.1435821755544743,-0.11173170165477207,4,2,0.6875,-0.6199069681471762,-0.4349637554183874,4,2,0.6875,0.14734521356781077,0.1429449931181534,2,4,0.6875,0.1607402329830663,0.15593999249253104,2,4,0.6875
base_model_as_tool,OLMo 3 32B Base,normalized_quartile,12,44,6,0.12312415865846893,0.14451659451659454,2,4,0.6875,-0.1741826896030928,-0.11556426365577614,6,0,0.03125,-0.8565030751918679,-0.5597357825044189,6,0,0.03125,0.17287319845061208,0.13586685240364899,2,4,0.6875,0.1885889437643041,0.14821838444034435,2,4,0.6875
base_model_as_tool,OLMo 3 32B Base,normalized_quartile,12,55,6,0.04462497205092029,0.1280663780663781,2,4,0.6875,-0.14748025430989967,-0.15317596991187138,5,1,0.21875,-0.7296986308383578,-0.7674557270397152,5,1,0.21875,0.12319583714129267,0.17629057010009394,2,4,0.6875,0.134395458699592,0.19231698556373883,2,4,0.6875
base_model_as_tool,OLMo 3 32B Base,normalized_quartile,16,11,6,0.09330887962788337,0.13203463203463206,2,4,0.6875,-0.1655865461680467,-0.15448094560372397,5,1,0.21875,-0.9180749251831384,-0.7881127472219233,5,1,0.21875,0.16769722150521504,0.2029473877092926,2,4,0.6875,0.1788770362722293,0.21647721355657878,2,4,0.6875
base_model_as_tool,OLMo 3 32B Base,normalized_quartile,16,22,6,0.20062175304160237,0.19704184704184705,1,5,0.21875,-0.1988324703578618,-0.13162590238922864,5,1,0.21875,-1.305272078798616,-0.8727393108185393,5,1,0.21875,0.23777179777939972,0.19046475890631737,1,5,0.21875,0.253623250964693,0.20316240950007183,1,5,0.21875
base_model_as_tool,OLMo 3 32B Base,normalized_quartile,16,33,6,0.0166996031125624,0.08065656565656565,2,4,0.6875,-0.13062346870133967,-0.17133417346396754,5,1,0.21875,-0.7403826245389936,-0.7800336689177838,5,1,0.21875,0.112487266037807,0.16832499744923984,1,5,0.21875,0.11998641710699413,0.17954666394585583,1,5,0.21875
