condition,delta_mean_pairwise_cosine,delta_semantic_radius,delta_vendi_score,display_family_label,final_bin,final_n_available,first_bin,first_n_available,internal_family_label,model_display,model_family,n_agents,roster_name,run_id,run_uid,scale,scheme,source_path
mag5,0.012481318712234513,-0.008477154374122609,-0.07534144692854916,Single-model final runs,Q4,68,Q1,81,single_model_final,GLM-5,z-ai/glm-5,10,GLM-5,ec-mag5-n10-run01,6336340d7b86d78a9e57368308f8d13d132bf5c7,n10,normalized_quartile,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/glm-5/agents-10/ec-mag5-n10-run01
mag0,0.043361247777938816,-0.031216432452201848,-0.9707440863861425,Single-model final runs,45-60m,370,0-15m,404,single_model_final,GPT-5,gpt-5,30,GPT-5,ec-mag0-n30-run01,6c3d862b9c7533fbff62a8485b176b48545cb764,n30,fixed_15m,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-30/ec-mag0-n30-run01
mag0,0.043250531554222094,-0.031164932847022986,-0.9715268832460708,Single-model final runs,Q4,373,Q1,401,single_model_final,GPT-5,gpt-5,30,GPT-5,ec-mag0-n30-run01,6c3d862b9c7533fbff62a8485b176b48545cb764,n30,normalized_quartile,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-30/ec-mag0-n30-run01
mag25,0.021377413272857693,-0.013705150187015513,-0.14447131673993807,Single-model final runs,45-60m,18,0-15m,141,single_model_final,GPT-5,gpt-5,10,GPT-5,ec-mag25-run04,6d3e2805af6653babf2fedb85ca20790cd830d58,n10,fixed_15m,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-mag25-run04
mag25,0.014565566182136558,-0.009790766537189466,-0.14434524334233068,Single-model final runs,Q4,43,Q1,129,single_model_final,GPT-5,gpt-5,10,GPT-5,ec-mag25-run04,6d3e2805af6653babf2fedb85ca20790cd830d58,n10,normalized_quartile,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-mag25-run04
mag0,0.13720142006874086,-0.0915111607313156,-1.193373088016274,Single-model final runs,45-60m,64,0-15m,227,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,20,Gemini Flash Lite,ec-mag0-n20-run01,6d6c7fa4a015ec0f2ab213125964e1f85605497c,n20,fixed_15m,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-20/ec-mag0-n20-run01
mag0,0.13358449041843412,-0.08940462291240692,-1.1842966545238527,Single-model final runs,Q4,66,Q1,226,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,20,Gemini Flash Lite,ec-mag0-n20-run01,6d6c7fa4a015ec0f2ab213125964e1f85605497c,n20,normalized_quartile,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-20/ec-mag0-n20-run01
mag25,0.03799202978610994,-0.026247895359993,-0.6763924552649963,Single-model final runs,45-60m,236,0-15m,274,single_model_final,GPT-5,gpt-5,20,GPT-5,ec-mag25-n20-run01,81e379c3d806dcd84af9f89395a169434aa666d3,n20,fixed_15m,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-20/ec-mag25-n20-run01
mag25,0.030662398338317853,-0.021021733880043025,-0.8157939834027701,Single-model final runs,Q4,339,Q1,788,single_model_final,GPT-5,gpt-5,20,GPT-5,ec-mag25-n20-run01,81e379c3d806dcd84af9f89395a169434aa666d3,n20,normalized_quartile,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-20/ec-mag25-n20-run01
mag25,0.04755616664886475,-0.031693587899208064,-0.8270453735328358,Single-model final runs,45-60m,104,0-15m,139,single_model_final,Kimi K2.5,moonshotai/kimi-k2.5,10,Kimi K2.5,ec-mag25-n10-run01,852f26a14ae81926ea3105598ca9785c486f6611,n10,fixed_15m,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/kimi-k2.5/agents-10/ec-mag25-n10-run01
mag25,0.046247110366821276,-0.03096274048089981,-1.1579765920426914,Single-model final runs,Q4,181,Q1,170,single_model_final,Kimi K2.5,moonshotai/kimi-k2.5,10,Kimi K2.5,ec-mag25-n10-run01,852f26a14ae81926ea3105598ca9785c486f6611,n10,normalized_quartile,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/kimi-k2.5/agents-10/ec-mag25-n10-run01
mag25,0.05738182127475738,-0.04102625787258146,-0.7813399011349436,Single-model final runs,45-60m,83,0-15m,133,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,Gemini Flash Lite,ec-mag25-n10-run01,92d7e428272f4ac978a0baea7895710d9e3e5c92,n10,fixed_15m,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-10/ec-mag25-n10-run01
mag25,0.05368832468986512,-0.038534375429153445,-0.719887457019329,Single-model final runs,Q4,90,Q1,129,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,Gemini Flash Lite,ec-mag25-n10-run01,92d7e428272f4ac978a0baea7895710d9e3e5c92,n10,normalized_quartile,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-10/ec-mag25-n10-run01
mag0,0.037619583606719964,-0.028028562068939222,-0.8045446803833904,Single-model final runs,45-60m,95,0-15m,136,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,Gemini Flash Lite,ec-mag0-n10-run01,9f77ea357569395e2a48f10902ae9e4a14b77f4a,n10,fixed_15m,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-10/ec-mag0-n10-run01
mag0,0.03305325269699094,-0.024792432188987745,-0.8130812138285206,Single-model final runs,Q4,111,Q1,133,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,10,Gemini Flash Lite,ec-mag0-n10-run01,9f77ea357569395e2a48f10902ae9e4a14b77f4a,n10,normalized_quartile,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-10/ec-mag0-n10-run01
mag5,-0.03204227089881895,0.0226892167329788,0.23917802352810824,Single-model final runs,45-60m,112,0-15m,231,single_model_final,Gemini Flash Lite,google/gemini-3.1-flash-lite-preview,20,Gemini Flash Lite,ec-mag5-n20-run01,a16100736f741b548f67e5c4cb59febadb038fb6,n20,fixed_15m,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-20/ec-mag5-n20-run01
