metric,metric_label,model_display,condition,condition_label,n_runs,raw_delta,collapse_score,family
vendi,Vendi semantic diversity,GPT-5,mag25,25 conspiracy seeds,1,-0.144471316739938,0.144471316739938,single_model_final
vendi,Vendi semantic diversity,GPT-5,dom-agi,25 AGI seeds,1,-0.7206779440574902,0.7206779440574902,single_model_final
vendi,Vendi semantic diversity,GPT-5,dom-tech,25 tech seeds,1,-0.8858923360078119,0.8858923360078119,single_model_final
vendi,Vendi semantic diversity,Gemini Flash Lite,mag0,Empty feed,1,-0.8045446803833904,0.8045446803833904,single_model_final
vendi,Vendi semantic diversity,Gemini Flash Lite,mag1,1 conspiracy seed,1,-1.2278096732867856,1.2278096732867856,single_model_final
vendi,Vendi semantic diversity,Gemini Flash Lite,mag5,5 conspiracy seeds,1,-2.7860595436549205,2.7860595436549205,single_model_final
vendi,Vendi semantic diversity,Gemini Flash Lite,mag25,25 conspiracy seeds,1,-0.7813399011349436,0.7813399011349436,single_model_final
vendi,Vendi semantic diversity,Gemini Flash Lite,dom-agi,25 AGI seeds,1,-0.2508916094097007,0.2508916094097007,single_model_final
vendi,Vendi semantic diversity,Gemini Flash Lite,dom-tech,25 tech seeds,1,-0.8134682110110258,0.8134682110110258,single_model_final
vendi,Vendi semantic diversity,Kimi K2.5,mag0,Empty feed,1,-0.7140909689977666,0.7140909689977666,single_model_final
vendi,Vendi semantic diversity,Kimi K2.5,mag1,1 conspiracy seed,1,-0.5805642380713092,0.5805642380713092,single_model_final
vendi,Vendi semantic diversity,Kimi K2.5,mag5,5 conspiracy seeds,1,-0.8294858680041806,0.8294858680041806,single_model_final
vendi,Vendi semantic diversity,Kimi K2.5,mag25,25 conspiracy seeds,1,-0.8270453735328358,0.8270453735328358,single_model_final
vendi,Vendi semantic diversity,Kimi K2.5,dom-agi,25 AGI seeds,1,-0.7206727063886298,0.7206727063886298,single_model_final
vendi,Vendi semantic diversity,Kimi K2.5,dom-tech,25 tech seeds,1,0.1976702284622171,-0.1976702284622171,single_model_final
vendi,Vendi semantic diversity,GLM-5,mag0,Empty feed,1,-0.0840062327013138,0.0840062327013138,single_model_final
vendi,Vendi semantic diversity,GLM-5,mag1,1 conspiracy seed,1,-0.2217959742194066,0.2217959742194066,single_model_final
vendi,Vendi semantic diversity,GLM-5,mag5,5 conspiracy seeds,1,-0.0461122497767538,0.0461122497767538,single_model_final
vendi,Vendi semantic diversity,GLM-5,mag25,25 conspiracy seeds,1,-0.2288406725878049,0.2288406725878049,single_model_final
vendi,Vendi semantic diversity,GLM-5,dom-agi,25 AGI seeds,1,0.2153880405806907,-0.2153880405806907,single_model_final
vendi,Vendi semantic diversity,GLM-5,dom-tech,25 tech seeds,1,-0.0477425080098612,0.0477425080098612,single_model_final
vendi,Vendi semantic diversity,OLMo 3 32B Base,mag0,Empty feed,1,0.1983818160748471,-0.1983818160748471,base_model_as_tool
vendi,Vendi semantic diversity,OLMo 3 32B Base,mag1,1 conspiracy seed,1,-1.22889688389971,1.22889688389971,base_model_as_tool
vendi,Vendi semantic diversity,OLMo 3 32B Base,mag5,5 conspiracy seeds,1,-2.2862696343293933,2.2862696343293933,base_model_as_tool
vendi,Vendi semantic diversity,OLMo 3 32B Base,mag25,25 conspiracy seeds,1,-1.6122338473871296,1.6122338473871296,base_model_as_tool
vendi,Vendi semantic diversity,OLMo 3 32B Base,dom-agi,25 AGI seeds,1,-0.3879213676767858,0.3879213676767858,base_model_as_tool
vendi,Vendi semantic diversity,OLMo 3 32B Base,dom-tech,25 tech seeds,1,-2.322553272086142,2.322553272086142,base_model_as_tool
vendi,Vendi semantic diversity,OLMo 3 32B Instruct,mag0,Empty feed,1,0.0452801785561498,-0.0452801785561498,base_model_as_tool
vendi,Vendi semantic diversity,OLMo 3 32B Instruct,mag1,1 conspiracy seed,1,-1.8150795830665831,1.8150795830665831,base_model_as_tool
vendi,Vendi semantic diversity,OLMo 3 32B Instruct,mag5,5 conspiracy seeds,1,-1.522297936849697,1.522297936849697,base_model_as_tool
vendi,Vendi semantic diversity,OLMo 3 32B Instruct,mag25,25 conspiracy seeds,1,0.3450958002843594,-0.3450958002843594,base_model_as_tool
vendi,Vendi semantic diversity,OLMo 3 32B Instruct,dom-agi,25 AGI seeds,1,0.5601101174009684,-0.5601101174009684,base_model_as_tool
vendi,Vendi semantic diversity,OLMo 3 32B Instruct,dom-tech,25 tech seeds,1,-2.049469315173625,2.049469315173625,base_model_as_tool
vendi,Vendi semantic diversity,Qwen 3.5 35B A3B Base,mag0,Empty feed,1,-0.2769461422514521,0.2769461422514521,base_model_as_tool
vendi,Vendi semantic diversity,Qwen 3.5 35B A3B Base,mag1,1 conspiracy seed,1,-1.692425578321589,1.692425578321589,base_model_as_tool
vendi,Vendi semantic diversity,Qwen 3.5 35B A3B Base,mag5,5 conspiracy seeds,1,1.250493346816294,-1.250493346816294,base_model_as_tool
vendi,Vendi semantic diversity,Qwen 3.5 35B A3B Base,mag25,25 conspiracy seeds,1,-0.6795008280032961,0.6795008280032961,base_model_as_tool
vendi,Vendi semantic diversity,Qwen 3.5 35B A3B Base,dom-agi,25 AGI seeds,1,0.6547388791331734,-0.6547388791331734,base_model_as_tool
vendi,Vendi semantic diversity,Qwen 3.5 35B A3B Base,dom-tech,25 tech seeds,1,-1.1785878030932109,1.1785878030932109,base_model_as_tool
vendi,Vendi semantic diversity,Mixed roster (Qwen 3.5 27B),mag0,Empty feed,1,-0.3196927024660523,0.3196927024660523,mixed_model_roster
vendi,Vendi semantic diversity,Mixed roster (Qwen 3.5 27B),mag1,1 conspiracy seed,1,-0.5718651901111249,0.5718651901111249,mixed_model_roster
vendi,Vendi semantic diversity,Mixed roster (Qwen 3.5 27B),mag5,5 conspiracy seeds,1,-0.5555015487500254,0.5555015487500254,mixed_model_roster
vendi,Vendi semantic diversity,Mixed roster (Qwen 3.5 27B),mag25,25 conspiracy seeds,1,0.0530567802089523,-0.0530567802089523,mixed_model_roster
vendi,Vendi semantic diversity,Mixed roster (Qwen 3.5 27B),dom-agi,25 AGI seeds,1,-0.3600729726096769,0.3600729726096769,mixed_model_roster
vendi,Vendi semantic diversity,Mixed roster (Qwen 3.5 27B),dom-tech,25 tech seeds,1,0.0315370054539325,-0.0315370054539325,mixed_model_roster
llm_collapse,Blinded LLM collapse index,GPT-5,mag0,Empty feed,1,0.2408991228070185,0.2408991228070185,single_model_final
llm_collapse,Blinded LLM collapse index,GPT-5,mag1,1 conspiracy seed,1,0.0189054726368151,0.0189054726368151,single_model_final
llm_collapse,Blinded LLM collapse index,GPT-5,mag5,5 conspiracy seeds,1,0.406640454346876,0.406640454346876,single_model_final
llm_collapse,Blinded LLM collapse index,GPT-5,mag25,25 conspiracy seeds,1,0.2434988179669037,0.2434988179669037,single_model_final
llm_collapse,Blinded LLM collapse index,GPT-5,dom-agi,25 AGI seeds,1,0.1826611984506723,0.1826611984506723,single_model_final
llm_collapse,Blinded LLM collapse index,GPT-5,dom-tech,25 tech seeds,1,0.3739285714285705,0.3739285714285705,single_model_final
llm_collapse,Blinded LLM collapse index,Gemini Flash Lite,mag0,Empty feed,1,0.0433126934984517,0.0433126934984517,single_model_final
